[2020-05-22 20:17:54] INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting Application on Teslan009_PC with PID 12656 (C:\Users\Teslan009\IdeaProjects\application\out\production\classes started by Teslan009 in C:\Users\Teslan009\IdeaProjects\application)
[2020-05-22 20:17:55] INFO  org.springframework.boot.SpringApplication 647 logStartupProfileInfo - No active profile set, falling back to default profiles: default
[2020-05-22 20:17:56] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate 244 multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode!
[2020-05-22 20:17:56] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate 126 registerRepositoriesIn - Bootstrapping Spring Data repositories in DEFAULT mode.
[2020-05-22 20:17:56] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate 182 registerRepositoriesIn - Finished Spring Data repository scanning in 175ms. Found 6 repository interfaces.
[2020-05-22 20:17:56] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate 244 multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode!
[2020-05-22 20:17:56] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate 126 registerRepositoriesIn - Bootstrapping Spring Data repositories in DEFAULT mode.
[2020-05-22 20:17:56] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport 363 isStrictRepositoryCandidate - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.shadow.springboot.application.repository.AccountLogRepository.
[2020-05-22 20:17:56] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport 363 isStrictRepositoryCandidate - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.shadow.springboot.application.repository.OperationLogRepository.
[2020-05-22 20:17:56] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport 363 isStrictRepositoryCandidate - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.shadow.springboot.application.repository.PermissionRepository.
[2020-05-22 20:17:56] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport 363 isStrictRepositoryCandidate - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.shadow.springboot.application.repository.ResourceRepository.
[2020-05-22 20:17:56] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport 363 isStrictRepositoryCandidate - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.shadow.springboot.application.repository.RoleRepository.
[2020-05-22 20:17:56] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport 363 isStrictRepositoryCandidate - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.shadow.springboot.application.repository.UserRepository.
[2020-05-22 20:17:56] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate 182 registerRepositoriesIn - Finished Spring Data repository scanning in 21ms. Found 0 repository interfaces.
[2020-05-22 20:17:56] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 postProcessAfterInitialization - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$afa5529a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2020-05-22 20:17:57] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 postProcessAfterInitialization - Bean 'shiroConfiguration' of type [com.shadow.springboot.application.shiro.config.ShiroConfiguration$$EnhancerBySpringCGLIB$$6839c167] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2020-05-22 20:17:57] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 postProcessAfterInitialization - Bean '(inner bean)#6fd1660' of type [org.springframework.beans.factory.config.PropertiesFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2020-05-22 20:17:57] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 postProcessAfterInitialization - Bean '(inner bean)#6fd1660' of type [java.util.Properties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2020-05-22 20:17:57] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 postProcessAfterInitialization - Bean '(inner bean)#56f71edb' of type [org.springframework.data.repository.core.support.PropertiesBasedNamedQueries] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2020-05-22 20:17:57] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 postProcessAfterInitialization - Bean '(inner bean)#546621c4' of type [org.springframework.data.repository.core.support.RepositoryFragmentsFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2020-05-22 20:17:57] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 postProcessAfterInitialization - Bean '(inner bean)#546621c4' of type [org.springframework.data.repository.core.support.RepositoryComposition$RepositoryFragments] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2020-05-22 20:17:57] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 postProcessAfterInitialization - Bean 'dataSourceConfiguration' of type [com.shadow.springboot.application.config.database.DataSourceConfiguration$$EnhancerBySpringCGLIB$$d565793d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
